Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_AN01570_ba41-42-22_59	AN01570_ba41-42-22_59	AN01570	ba41/42/22	4818366	1486451	2448498	795523
Sample_AN01570_vermis_60	AN01570_vermis_60	AN01570	vermis	5152581	4436208	7842990	1986178
Sample_AN01971_ba41-42-22_1st	AN01971_ba41-42-22_1st	AN01971	ba41/42/22	4988148	4115411	6869909	2321004
Sample_AN01971_ba9_1st	AN01971_ba9_1st	AN01971	ba9	9962164	8895789	12558211	5036324
Sample_AN02987_ba41-42-22_1st	AN02987_ba41-42-22_1st	AN02987	ba41/42/22	5739766	4158743	7134559	1959816
Sample_AN02987-BA9_AN02987_ba9_3rd	AN02987_ba9_3rd	AN02987	ba9	3615349	3498587	6247648	1984342
Sample_AN02987_vermis_1st	AN02987_vermis_1st	AN02987	vermis	4916374	3691350	6263482	1597094
Sample_AN03217_ba41-42-22_1st	AN03217_ba41-42-22_1st	AN03217	ba41/42/22	4777559	3915173	6148142	1578904
Sample_AN03217_ba41-42-22_92	AN03217_ba41-42-22_92	AN03217	ba41/42/22	5327215	3685573	5854801	1394228
Sample_AN03217_ba9_2nd	AN03217_ba9_2nd	AN03217	ba9	2465596	1478529	2317287	622456
Sample_AN03217_ba9_91	AN03217_ba9_91	AN03217	ba9	5349917	3193700	5138237	1469388
Sample_AN03217_vermis_1st	AN03217_vermis_1st	AN03217	vermis	5745051	4246006	7052288	1782127
Sample_AN03217_vermis_93	AN03217_vermis_93	AN03217	vermis	6597277	4429754	7550706	1809708
Sample_AN03345_ba9_79	AN03345_ba9_79	AN03345	ba9	4964367	2721610	4058396	1076422
Sample_AN03632_ba41-42-22_1st	AN03632_ba41-42-22_1st	AN03632	ba41/42/22	5473623	4375916	7236946	1713912
Sample_AN03632_ba9_2nd	AN03632_ba9_2nd	AN03632	ba9	5196734	3739085	5854328	1620304
Sample_AN03632_vermis_1st	AN03632_vermis_1st	AN03632	vermis	5204594	3980580	6634116	1605336
Sample_AN03935_ba41-42-22_1st	AN03935_ba41-42-22_1st	AN03935	ba41/42/22	10551975	6863670	10946971	3179247
Sample_AN03935_ba9_2nd	AN03935_ba9_2nd	AN03935	ba9	5780232	4094171	6399624	2042849
Sample_AN03935_vermis_1st	AN03935_vermis_1st	AN03935	vermis	4116967	3366135	5661550	1392054
Sample_AN04479_ba41-42-22_11	AN04479_ba41-42-22_11	AN04479	ba41/42/22	3595741	2489046	4035849	1230909
Sample_AN04479_ba41-42-22_95	AN04479_ba41-42-22_95	AN04479	ba41/42/22	5856994	4423032	7487328	2066351
Sample_AN04479_ba9_94	AN04479_ba9_94	AN04479	ba9	3677994	2591418	3903915	1357162
Sample_AN04682_ba41-42-22_1st	AN04682_ba41-42-22_1st	AN04682	ba41/42/22	12597469	8581986	13690566	3874909
Sample_AN04682_ba41-42-22_1st_T	AN04682_ba41-42-22_1st_T	AN04682	ba41/42/22	7595007	5286501	9212460	2343814
