Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_UMB5278_ba41-42-22_1st	UMB5278_ba41-42-22_1st	UMB5278	ba41/42/22	3501156	2166747	3382260	1082554
Sample_UMB5278_ba9_1st	UMB5278_ba9_1st	UMB5278	ba9	5493441	4134519	6398020	2019055
Sample_UMB5278_vermis_1st	UMB5278_vermis_1st	UMB5278	vermis	5323311	4858853	8007184	1921209
Sample_UMB5297_ba9_1st	UMB5297_ba9_1st	UMB5297	ba9	5742189	4071447	6779633	2071225
Sample_UMB5297_vermis_2nd	UMB5297_vermis_2nd	UMB5297	vermis	4599748	4160864	7281613	1640651
Sample_UMB5302_ba41-42-22_1st	UMB5302_ba41-42-22_1st	UMB5302	ba41/42/22	4814851	4043544	6753747	1804275
Sample_UMB5302_ba9_1st	UMB5302_ba9_1st	UMB5302	ba9	13013108	5874075	9370573	2704450
Sample_UMB5302_vermis_1st	UMB5302_vermis_1st	UMB5302	vermis	4295346	3757346	6455122	1705752
Sample_UMB5303_ba41-42-22_2nd	UMB5303_ba41-42-22_2nd	UMB5303	ba41/42/22	3988490	2167054	3348462	1023982
Sample_UMB5303_ba9_1st	UMB5303_ba9_1st	UMB5303	ba9	5355699	3580588	5829606	1700915
Sample_UMB5303_vermis_1st	UMB5303_vermis_1st	UMB5303	vermis	10276213	5286090	9088042	2446531
Sample_UMB5308_ba41-42-22_1st	UMB5308_ba41-42-22_1st	UMB5308	ba41/42/22	5347044	4659238	7620139	2522203
Sample_UMB5308_vermis_1st	UMB5308_vermis_1st	UMB5308	vermis	4877341	3284359	5898416	1195657
Sample_UMB5340_ba41-42-22_2nd	UMB5340_ba41-42-22_2nd	UMB5340	ba41/42/22	4913752	4404537	7208506	2091974
Sample_UMB5340_ba9_2nd	UMB5340_ba9_2nd	UMB5340	ba9	5389890	5082438	8494058	2469952
Sample_UMB5340_vermis_1st	UMB5340_vermis_1st	UMB5340	vermis	13863069	8418149	14188219	3361604
Sample_UMB5342_ba41-42-22_1st	UMB5342_ba41-42-22_1st	UMB5342	ba41/42/22	4924238	3786965	5920857	1841511
Sample_UMB5342_ba9_2nd	UMB5342_ba9_2nd	UMB5342	ba9	4023396	1472746	2295938	757268
Sample_UMB5342_vermis_1st	UMB5342_vermis_1st	UMB5342	vermis	6631280	5296337	8997666	2467794
