Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	unmapped_read	uniquely_mapped_read
Sample_AN08161_ba41-42-22_1st	AN08161_ba41_42_22_1st	AN08161	ba41/42/22	4901760	3719726	391176	789933
Sample_AN08161_ba9_1st	AN08161_ba9_1st	AN08161	ba9	5185837	4018268	284021	884965
Sample_AN08161_vermis_2nd	AN08161_vermis_2nd	AN08161	vermis	3890702	3188239	387173	750916
Sample_AN08166_ba41-42-22_86	AN08166_ba41_42_22_86	AN08166	ba41/42/22	4964816	4425128	446019	964973
Sample_AN08166_ba9_85	AN08166_ba9_85	AN08166	ba9	6554963	2630488	254110	780692
Sample_AN08677_ba41-42-22_1st	AN08677_ba41_42_22_1st	AN08677	ba41/42/22	4082377	3251207	353882	703813
Sample_AN08677_vermis_2nd	AN08677_vermis_2nd	AN08677	vermis	6315363	4978409	252573	1023786
Sample_AN08792_ba41-42-22_102	AN08792_ba41_42_22_102	AN08792	ba41/42/22	4611224	2833311	172825	662432
Sample_AN08792_ba9_101	AN08792_ba9_101	AN08792	ba9	11237322	5519769	407948	1494065
Sample_AN08792_vermis_103	AN08792_vermis_103	AN08792	vermis	4482863	3359135	268387	287376
Sample_AN08873_ba9_76	AN08873_ba9_76	AN08873	ba9	4436704	2792614	314907	747046
Sample_AN08873_vermis_78	AN08873_vermis_78	AN08873	vermis	5072155	3145820	198708	663790
Sample_AN09402-BA9_AN09402_ba9_3rd	AN09402_ba9_3rd	AN09402	ba9	5047924	4697669	155579	799168
Sample_AN09402_vermis_1st	AN09402_vermis_1st	AN09402	vermis	10865848	8228917	434084	1443289
Sample_AN09402_vermis_1st_T	AN09402_vermis_1st_T	AN09402	vermis	9673858	8307044	342734	1462738
Sample_AN09714_ba41-42-22_1st	AN09714_ba41_42_22_1st	AN09714	ba41/42/22	5591493	4684979	406700	821210
Sample_AN09714_ba9_1st	AN09714_ba9_1st	AN09714	ba9	5251814	4180669	374535	1038528
Sample_AN09714_vermis_1st	AN09714_vermis_1st	AN09714	vermis	5906506	5106645	363749	1006413
Sample_AN09730_ba9_118	AN09730_ba9_118	AN09730	ba9	5375748	3069766	227436	643257
Sample_AN09730_vermis_120	AN09730_vermis_120	AN09730	vermis	4550456	3862720	249286	405422
Sample_AN10028_ba9_115	AN10028_ba9_115	AN10028	ba9	5643911	3291648	290522	802183
Sample_AN10028_vermis_117	AN10028_vermis_117	AN10028	vermis	4777366	4311246	386077	729120
Sample_AN10679_ba41-42-22_2nd	AN10679_ba41_42_22_2nd	AN10679	ba41/42/22	6425186	3617622	453967	1037949
Sample_AN10679_ba9_1st	AN10679_ba9_1st	AN10679	ba9	4697541	4089041	428161	977989
Sample_AN10679_vermis_2nd	AN10679_vermis_2nd	AN10679	vermis	5180122	4108788	373128	713821
Sample_AN10723_ba41-42-22_1st	AN10723_ba41_42_22_1st	AN10723	ba41/42/22	5854370	4466226	334351	964276
Sample_AN10723_ba9_1st	AN10723_ba9_1st	AN10723	ba9	11676833	7618151	573501	2093441
Sample_AN10723_ba9_1st_T	AN10723_ba9_1st_T	AN10723	ba9	7865995	5763695	316130	1750306
Sample_AN10723_vermis_2nd	AN10723_vermis_2nd	AN10723	vermis	4977052	4048268	332453	932565
Sample_AN10833_ba41-42-22_47	AN10833_ba41_42_22_47	AN10833	ba41/42/22	3294504	1529636	201468	376433
Sample_AN10833_vermis_48	AN10833_vermis_48	AN10833	vermis	4907584	3964819	237977	875371
Sample_AN11864-BA41-42-22_AN11864_ba41-42-22_3rd	AN11864_ba41_42_22_3rd	AN11864	ba41/42/22	4921994	4497597	96279	759134
Sample_AN11864-BA9_AN11864_ba9_3rd	AN11864_ba9_3rd	AN11864	ba9	4889315	4466136	263531	806219
Sample_AN11864-CB_AN11864_vermis_3rd	AN11864_vermis_3rd	AN11864	vermis	5505312	5180501	98358	767776
Sample_AN11931_ba41-42-22_1st	AN11931_ba41_42_22_1st	AN11931	ba41/42/22	4499842	2644157	211766	724044
Sample_AN11931-BA9_AN11931_ba9_3rd	AN11931_ba9_3rd	AN11931	ba9	5600426	5296910	220153	815352
Sample_AN11989_ba41-42-22_110	AN11989_ba41_42_22_110	AN11989	ba41/42/22	4588824	2965648	312284	690617
Sample_AN11989_ba41-42-22_41	AN11989_ba41_42_22_41	AN11989	ba41/42/22	5156176	3777147	322618	770115
Sample_AN11989_ba9_109	AN11989_ba9_109	AN11989	ba9	3056801	2300158	330847	458973
Sample_AN11989_ba9_40	AN11989_ba9_40	AN11989	ba9	5494674	4453124	300910	818991
Sample_AN11989_vermis_111	AN11989_vermis_111	AN11989	vermis	5205781	4494483	279322	456484
Sample_AN11989_vermis_42	AN11989_vermis_42	AN11989	vermis	4474704	4059349	272997	468174
Sample_AN12137_ba41-42-22_20	AN12137_ba41_42_22_20	AN12137	ba41/42/22	5328211	3412379	453653	713734
Sample_AN12137-BA9_AN12137_ba9_3rd	AN12137_ba9_3rd	AN12137	ba9	4482186	3951570	320302	946291
Sample_AN12137_vermis_21	AN12137_vermis_21	AN12137	vermis	6192366	3411414	399858	627268
Sample_AN12240_ba9_7	AN12240_ba9_7	AN12240	ba9	3707359	2093853	178018	496166
Sample_AN12240_vermis_9	AN12240_vermis_9	AN12240	vermis	3546886	2557940	113608	597937
Sample_AN12457_ba41-42-22_35	AN12457_ba41_42_22_35	AN12457	ba41/42/22	4440686	2498242	303093	566817
Sample_AN12457_ba9_34	AN12457_ba9_34	AN12457	ba9	5555050	3735785	335634	931175
Sample_AN12457_vermis_36	AN12457_vermis_36	AN12457	vermis	5831964	4555011	295350	734168
Sample_AN13295_ba41-42-22_89	AN13295_ba41_42_22_89	AN13295	ba41/42/22	4944435	3680027	393863	922342
